C. Space,Method,Post.,SEN,SPE,ACC,DIC,JAC,,,,,,,,,
HSV,direct_train,w/o,0.8818 \pm 0.0200,0.9704 \pm 0.0054,0.9585 \pm 0.0028,0.7967 \pm 0.0117,0.6867 \pm 0.0140,,,,,,,,,
HSV,direct_train,CRF,0.8586 \pm 0.0256,0.9763 \pm 0.0046,0.9620 \pm 0.0020,0.8078 \pm 0.0087,0.7041 \pm 0.0096,,,,,,,,,
HSV,direct_transfer,w/o,0.8404 \pm 0.0366,0.9016 \pm 0.0200,0.8963 \pm 0.0144,0.6704 \pm 0.0138,0.5513 \pm 0.0148,,,,,,,,,
HSV,direct_transfer,CRF,0.8203 \pm 0.0381,0.9098 \pm 0.0198,0.9020 \pm 0.0142,0.6827 \pm 0.0159,0.5704 \pm 0.0162,,,,,,,,,
HSV,fine_tune,w/o,0.8673 \pm 0.0240,0.9756 \pm 0.0046,0.9609 \pm 0.0015,0.8055 \pm 0.0047,0.6988 \pm 0.0061,,,,,,,,,
HSV,fine_tune,CRF,0.8474 \pm 0.0262,0.9805 \pm 0.0039,0.9638 \pm 0.0015,0.8147 \pm 0.0071,0.7133 \pm 0.0088,,,,,,,,,
LAB,direct_train,w/o,0.8901 \pm 0.0227,0.9717 \pm 0.0061,0.9616 \pm 0.0030,0.8186 \pm 0.0106,0.7161 \pm 0.0119,,,,,,,,,
LAB,direct_train,CRF,0.8435 \pm 0.0346,0.9769 \pm 0.0056,0.9632 \pm 0.0023,0.8149 \pm 0.0141,0.7137 \pm 0.0149,,,,,,,,,
LAB,direct_transfer,w/o,0.8378 \pm 0.0486,0.8816 \pm 0.0303,0.8771 \pm 0.0227,0.6518 \pm 0.0242,0.5373 \pm 0.0239,,,,,,,,,
LAB,direct_transfer,CRF,0.7827 \pm 0.0622,0.8868 \pm 0.0316,0.8785 \pm 0.0231,0.6350 \pm 0.0348,0.5269 \pm 0.0313,,,,,,,,,
LAB,fine_tune,w/o,0.8827 \pm 0.0202,0.9748 \pm 0.0052,0.9639 \pm 0.0027,0.8267 \pm 0.0068,0.7266 \pm 0.0087,,,,,,,,,
LAB,fine_tune,CRF,0.8310 \pm 0.0264,0.9794 \pm 0.0046,0.9649 \pm 0.0022,0.8135 \pm 0.0118,0.7141 \pm 0.0127,,,,,,,,,
RGB,direct_train,w/o,0.8914 \pm 0.0215,0.9716 \pm 0.0038,0.9613 \pm 0.0017,0.8168 \pm 0.0068,0.7143 \pm 0.0087,,,,,,,,,
RGB,direct_train,CRF,0.8708 \pm 0.0226,0.9764 \pm 0.0033,0.9639 \pm 0.0016,0.8242 \pm 0.0089,0.7263 \pm 0.0111,,,,,,,,,
RGB,direct_transfer,w/o,0.8175 \pm 0.0330,0.8984 \pm 0.0267,0.8897 \pm 0.0214,0.6516 \pm 0.0249,0.5381 \pm 0.0249,,,,,,,,,
RGB,direct_transfer,CRF,0.7951 \pm 0.0354,0.9051 \pm 0.0281,0.8941 \pm 0.0224,0.6577 \pm 0.0268,0.5514 \pm 0.0266,,,,,,,,,
RGB,fine_tune,w/o,0.8890 \pm 0.0128,0.9749 \pm 0.0022,0.9639 \pm 0.0015,0.8252 \pm 0.0044,0.7248 \pm 0.0057,,,,,,,,,
RGB,fine_tune,CRF,0.8692 \pm 0.0173,0.9794 \pm 0.0019,0.9665 \pm 0.0014,0.8323 \pm 0.0055,0.7359 \pm 0.0052,,,,,,,,,
RGB-HSV,direct_train,w/o,0.8778 \pm 0.0321,0.9747 \pm 0.0053,0.9627 \pm 0.0022,0.8168 \pm 0.0077,0.7133 \pm 0.0095,,,,,,,,,
RGB-HSV,direct_train,CRF,0.8530 \pm 0.0390,0.9797 \pm 0.0046,0.9654 \pm 0.0017,0.8229 \pm 0.0105,0.7240 \pm 0.0113,,,,,,,,,
RGB-HSV,direct_transfer,w/o,0.8316 \pm 0.0240,0.8931 \pm 0.0163,0.8883 \pm 0.0133,0.6599 \pm 0.0206,0.5439 \pm 0.0210,,,,,,,,,
RGB-HSV,direct_transfer,CRF,0.8095 \pm 0.0291,0.8998 \pm 0.0175,0.8927 \pm 0.0141,0.6668 \pm 0.0219,0.5579 \pm 0.0212,,,,,,,,,
RGB-LAB,direct_train,w/o,0.8877 \pm 0.0239,0.9731 \pm 0.0063,0.9626 \pm 0.0030,0.8218 \pm 0.0066,0.7198 \pm 0.0087,,,,,,,,,
RGB-LAB,direct_train,CRF,0.8640 \pm 0.0270,0.9779 \pm 0.0058,0.9652 \pm 0.0025,0.8283 \pm 0.0056,0.7317 \pm 0.0074,,,,,,,,,
RGB-LAB,direct_transfer,w/o,0.8301 \pm 0.0500,0.8874 \pm 0.0311,0.8811 \pm 0.0220,0.6489 \pm 0.0192,0.5346 \pm 0.0179,,,,,,,,,
RGB-LAB,direct_transfer,CRF,0.8075 \pm 0.0509,0.8934 \pm 0.0318,0.8849 \pm 0.0225,0.6567 \pm 0.0194,0.5500 \pm 0.0171,,,,,,,,,
RGB-LAB,fine_tune,w/o,0.8917 \pm 0.0268,0.9723 \pm 0.0056,0.9627 \pm 0.0023,0.8205 \pm 0.0065,0.7196 \pm 0.0089,,,,,,,,,
RGB-LAB,fine_tune,CRF,0.8713 \pm 0.0298,0.9770 \pm 0.0046,0.9655 \pm 0.0017,0.8269 \pm 0.0080,0.7310 \pm 0.0091,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
C. Space,Method,Post.,SEN,SPE,ACC,DIC,JAC,,C. Space,Method,Post.,SEN,SPE,ACC,DIC,JAC
HSV,direct_train,w/o,0.881804019,0.970417746,0.958470823,0.796734952,0.686676823,,HSV,direct_train,w/o,0.020032055,0.00535644,0.002764252,0.011716831,0.013981289
HSV,direct_train,CRF,0.858620257,0.976300068,0.961975378,0.807794868,0.704124786,,HSV,direct_train,CRF,0.025590097,0.004629675,0.001974119,0.008724612,0.009599282
HSV,direct_transfer,w/o,0.840437728,0.901631232,0.896322398,0.670398831,0.551271275,,HSV,direct_transfer,w/o,0.036550263,0.019953044,0.014388198,0.013764226,0.014823189
HSV,direct_transfer,CRF,0.820325677,0.909751423,0.90203142,0.68267572,0.570378922,,HSV,direct_transfer,CRF,0.03808552,0.019771662,0.014174228,0.015900808,0.016207105
HSV,fine_tune,w/o,0.867256119,0.975598948,0.960865885,0.805464311,0.698766,,HSV,fine_tune,w/o,0.023999847,0.004604679,0.001538783,0.004709155,0.006134242
HSV,fine_tune,CRF,0.847391826,0.980545687,0.963799418,0.814699481,0.713254277,,HSV,fine_tune,CRF,0.026186219,0.003923514,0.001453191,0.007107977,0.00877705
LAB,direct_train,w/o,0.890087713,0.971660239,0.9615977,0.8185956,0.71605022,,LAB,direct_train,w/o,0.022661798,0.006090153,0.003001896,0.010615656,0.011906182
LAB,direct_train,CRF,0.843466901,0.976851435,0.963245259,0.814910964,0.713746741,,LAB,direct_train,CRF,0.034565068,0.005610809,0.002293593,0.014128097,0.014882152
LAB,direct_transfer,w/o,0.837840503,0.88160257,0.877055655,0.651810942,0.537274725,,LAB,direct_transfer,w/o,0.048620658,0.030318433,0.022701181,0.024224762,0.023927934
LAB,direct_transfer,CRF,0.782736994,0.886817839,0.878498848,0.634975446,0.526904892,,LAB,direct_transfer,CRF,0.062151724,0.031583292,0.023080225,0.034825765,0.031335639
LAB,fine_tune,w/o,0.882690722,0.974774881,0.96387983,0.82666303,0.72656292,,LAB,fine_tune,w/o,0.020152086,0.005189811,0.002700083,0.006835066,0.008681733
LAB,fine_tune,CRF,0.830999659,0.979377479,0.964895544,0.813479916,0.714081421,,LAB,fine_tune,CRF,0.026362384,0.004583482,0.00216937,0.011785233,0.012700669
RGB,direct_train,w/o,0.891409712,0.971623032,0.961270671,0.816784025,0.714336239,,RGB,direct_train,w/o,0.021454752,0.00382476,0.001651037,0.006826037,0.008667432
RGB,direct_train,CRF,0.87082922,0.976360395,0.963941878,0.824173446,0.726251194,,RGB,direct_train,CRF,0.022637091,0.003291051,0.001577384,0.008852115,0.011124146
RGB,direct_transfer,w/o,0.817487527,0.898384848,0.889741937,0.651584849,0.538051769,,RGB,direct_transfer,w/o,0.03298908,0.026674272,0.021381789,0.024935743,0.024922214
RGB,direct_transfer,CRF,0.795074974,0.905058703,0.894125561,0.657721022,0.551372837,,RGB,direct_transfer,CRF,0.035438017,0.028085084,0.022429037,0.026821191,0.026575136
RGB,fine_tune,w/o,0.889014179,0.974874699,0.963894533,0.825191076,0.724834804,,RGB,fine_tune,w/o,0.012813963,0.002231655,0.001530596,0.004417584,0.005656819
RGB,fine_tune,CRF,0.869227855,0.979413263,0.966508904,0.83225852,0.735916617,,RGB,fine_tune,CRF,0.017310557,0.001940896,0.001350349,0.005518611,0.005237081
RGB-HSV,direct_train,w/o,0.877823762,0.974745311,0.962670953,0.816840358,0.713282638,,RGB-HSV,direct_train,w/o,0.032130194,0.005318263,0.002183829,0.007738216,0.009516648
RGB-HSV,direct_train,CRF,0.852950542,0.979727201,0.965352638,0.822863498,0.724006383,,RGB-HSV,direct_train,CRF,0.038950984,0.004649732,0.001726605,0.010544786,0.011258276
RGB-HSV,direct_transfer,w/o,0.831575514,0.893063596,0.88825605,0.65994576,0.543852744,,RGB-HSV,direct_transfer,w/o,0.023994192,0.016346137,0.01328616,0.020622759,0.021049334
RGB-HSV,direct_transfer,CRF,0.809508338,0.899765273,0.89272914,0.66683196,0.557850415,,RGB-HSV,direct_transfer,CRF,0.029068442,0.01753902,0.014056728,0.021865733,0.021202199
RGB-LAB,direct_train,w/o,0.887703947,0.973092076,0.962599221,0.821805016,0.719823048,,RGB-LAB,direct_train,w/o,0.02389628,0.006346449,0.003044169,0.006643044,0.008666669
RGB-LAB,direct_train,CRF,0.864033301,0.977910673,0.965241179,0.828313831,0.731675734,,RGB-LAB,direct_train,CRF,0.027008213,0.005758949,0.002537578,0.005591401,0.007409953
RGB-LAB,direct_transfer,w/o,0.830071074,0.887352534,0.881131417,0.648865507,0.53458988,,RGB-LAB,direct_transfer,w/o,0.050029833,0.031111938,0.021957476,0.019158805,0.017912961
RGB-LAB,direct_transfer,CRF,0.807453286,0.893386291,0.884917053,0.656710526,0.550010693,,RGB-LAB,direct_transfer,CRF,0.050862098,0.03183517,0.022532967,0.019373474,0.017136541
RGB-LAB,fine_tune,w/o,0.891655594,0.972295286,0.962721058,0.820473484,0.719615128,,RGB-LAB,fine_tune,w/o,0.026797027,0.00564268,0.002325731,0.006516834,0.00892431
RGB-LAB,fine_tune,CRF,0.871257596,0.976961206,0.965478944,0.82685292,0.731040341,,RGB-LAB,fine_tune,CRF,0.029790476,0.004644684,0.001666391,0.007965836,0.009116154
